,member
1175,78
1176,78
1177,78
1178,78
1179,78
1180,78
1181,78
1182,78
1183,78
1184,78
1185,78
1186,78
1187,78
1188,78
1189,78
1190,78
1191,78
1192,78
1193,78
1194,78
1195,78
1196,78
1197,78
1198,78
1199,78
1200,78
1201,78
1202,78
1203,78
1204,78
1205,78
1206,78
1207,78
1208,78
1209,78
1210,78
1211,78
1212,78
1213,78
1214,78
1215,78
1216,78
1217,78
1218,78
1219,78
1220,78
1221,78
1222,78
1223,78
1224,78
1225,78
1226,78
1227,78
1228,78
1229,78
1230,78
1231,78
1232,78
1233,78
1234,78
1235,78
1236,78
1237,78
1238,78
1239,78
1240,78
1241,78
1242,78
1243,78
1244,78
1245,78
1246,78
1247,78
1248,78
1249,78
1250,78
1251,78
1252,78
1253,78
1254,78
1255,78
1256,78
1257,78
1258,78
1259,78
1260,78
1261,78
1262,78
1263,78
1264,78
1265,78
1266,78
1267,78
1268,78
1269,78
1270,78
1271,78
1272,78
1273,78
1274,78
1275,78
1276,78
1277,78
1278,78
1279,78
1280,78
1281,78
1282,78
1283,78
1284,78
1285,78
1286,78
1287,78
1288,78
1289,78
1290,78
1291,78
1292,78
1293,78
1294,78
1295,78
1296,78
1297,78
1298,78
1299,78
1300,78
1301,78
1302,78
1303,78
1304,78
1305,78
1306,78
1307,78
1308,78
1309,78
1310,78
1311,78
1312,78
1313,78
1314,78
1315,78
1316,78
1317,78
1318,78
1319,78
1320,78
1321,78
1322,78
1323,78
1324,78
1325,78
1326,78
1327,78
1328,78
1329,78
1330,78
1331,78
1332,78
1333,78
1334,78
1335,78
1336,78
1337,78
1338,78
1339,78
1340,78
1341,78
1342,78
1343,78
1344,78
1345,78
1346,78
1347,78
1348,78
1349,78
1350,78
1351,78
1352,78
1353,78
1354,78
1355,78
1356,78
1357,78
1358,78
1359,78
1360,78
1361,78
1362,78
1363,78
1364,78
1365,78
1366,78
1367,78
1368,78
1369,78
1370,78
1371,78
1372,78
1373,78
1374,78
1375,78
1376,78
1377,78
1378,78
1379,78
1380,78
1381,78
1382,78
1383,78
1384,78
1385,78
1386,78
1387,78
1388,78
1389,78
1390,78
1391,78
1392,78
1393,78
1394,78
1395,78
1396,78
1397,78
1398,78
1399,78
1400,78
1401,78
1402,78
1403,78
1404,78
1405,78
1406,78
1407,78
1408,78
1409,78
1410,78
1411,78
1412,78
1413,78
1414,78
1415,78
1416,78
1417,78
1418,78
1419,78
1420,78
1421,78
1422,78
1423,78
1424,78
1425,78
1426,78
1427,78
1428,78
1429,78
1430,78
1431,78
1432,78
1433,78
1434,78
1435,78
1436,78
1437,78
1438,78
1439,78
1440,78
1441,78
1442,78
1443,78
1444,78
1445,78
1446,78
1447,78
1448,78
1449,78
1450,78
1451,78
1452,78
1453,78
1454,78
1455,78
1456,78
1457,78
1458,78
1459,78
1460,78
1461,78
1462,78
1463,78
1464,78
1465,78
1466,78
1467,78
1468,78
1469,78
1470,78
1471,78
1472,78
1473,78
1474,78
1475,78
1476,78
1477,78
1478,78
1479,78
1480,78
1481,78
1482,78
1483,78
1484,78
1485,78
1486,78
1487,78
1488,78
1489,78
1490,78
1491,78
1492,78
1493,78
1494,78
1495,78
1496,78
1497,78
1498,78
1499,78
1500,78
1501,78
1502,78
1503,329
1504,317
1505,317
1506,317
1507,317
1508,317
1509,317
1510,317
1511,317
1512,317
1513,317
1514,317
1515,317
1516,317
1517,317
1518,317
1519,317
1520,317
1521,317
1522,317
1523,317
1524,317
1525,317
1526,317
1527,317
1528,317
1529,317
1530,317
1531,317
1532,317
1533,317
1534,317
1535,317
1536,317
1537,317
1538,317
1539,317
1540,317
1541,317
1542,317
1543,317
1544,317
1545,317
1546,317
1547,317
1548,317
1549,317
1550,317
1551,317
1552,317
1553,317
1554,317
1555,317
1556,317
1557,317
1558,317
1559,317
1560,317
1561,317
1562,317
1563,317
1564,317
1565,317
1566,317
1567,317
1568,317
1569,317
1570,317
1571,317
1572,317
1573,317
1574,317
1575,317
1576,317
1577,317
1578,317
1579,317
1580,317
1581,317
1582,317
1583,317
1584,317
1585,317
1586,317
1587,317
1588,317
1589,317
1590,317
1591,317
1592,317
1593,317
1594,317
1595,317
1596,317
1597,317
1598,317
1599,317
1600,317
1601,317
1602,317
1603,317
1604,317
1605,317
1606,317
1607,317
1608,317
1609,317
1610,317
1611,317
1612,317
1613,317
1614,317
1615,317
1616,317
1617,317
1618,317
1619,317
1620,317
1621,317
1622,317
1623,317
1624,317
1625,317
1626,317
1627,317
1628,317
1629,317
1630,317
1631,317
1632,317
1633,317
1634,317
1635,317
1636,317
1637,317
1638,317
1639,317
1640,317
1641,317
1642,317
1643,317
1644,317
1645,317
1646,317
1647,317
1648,317
1649,317
1650,317
1651,317
1652,317
1653,317
1654,317
1655,317
1656,317
1657,317
1658,317
1659,317
1660,317
1661,317
1662,317
1663,317
1664,317
1665,317
1666,317
1667,317
1668,317
1669,317
1670,317
1671,317
1672,317
1673,317
1674,317
1675,317
1676,317
1677,317
1678,317
1679,317
1680,317
1681,317
1682,317
1683,317
1684,317
1685,317
1686,317
1687,317
1688,317
1689,317
1690,317
1691,317
1692,317
1693,317
1694,317
1695,317
1696,317
1697,317
1698,317
1699,317
1700,317
1701,317
1702,317
1703,317
1704,317
1705,317
1706,317
1707,317
1708,317
1709,317
1710,317
1711,317
1712,317
1713,317
1714,317
1715,317
1716,317
1717,317
1718,317
1719,317
1720,317
1721,317
1722,317
1723,317
1724,317
1725,317
1726,317
1727,317
1728,317
1729,317
1730,317
1731,317
1732,317
1733,317
1734,317
1735,317
1736,317
1737,317
1738,317
1739,317
1740,317
1741,317
1742,317
1743,317
1744,317
1745,317
1746,317
1747,317
1748,317
1749,317
1750,317
1751,317
1752,317
1753,317
1754,317
1755,317
1756,317
1757,317
1758,317
1759,317
1760,317
1761,317
1762,317
1763,317
1764,317
1765,317
1766,317
1767,317
1768,317
1769,317
1770,317
1771,317
1772,317
1773,317
1774,317
1775,317
1776,317
1777,317
1778,317
1779,317
1780,317
1781,317
1782,317
1783,317
1784,317
1785,317
1786,317
1787,317
1788,317
1789,317
1790,317
1791,317
1792,317
1793,317
1794,317
1795,317
1796,317
1797,317
1798,317
1799,317
1800,317
1801,317
1802,317
1803,317
1804,317
1805,317
1806,317
1807,317
1808,317
1809,317
1810,317
1811,317
1812,317
1813,317
1814,317
1815,317
1816,317
1817,317
1818,317
1819,317
1820,317
1821,317
1822,317
1823,317
1824,317
1825,317
1826,317
1827,317
1828,317
1829,317
1830,317
1831,317
1832,317
1833,317
1834,317
1835,317
1836,317
1837,317
1838,317
1839,317
1840,317
1841,317
1842,317
1843,317
1844,317
1845,317
1846,317
1847,317
1848,317
1849,317
1850,317
1851,317
1852,317
1853,317
1854,317
1855,317
1856,317
1857,317
1858,317
1859,317
1860,317
1861,317
1862,317
1863,317
1864,317
1865,317
1866,317
1867,317
1868,311
1869,311
1870,311
1871,311
1872,311
1873,350
1874,317
1875,317
1876,317
1877,317
1878,317
1879,317
1880,317
1881,317
1882,317
1883,317
1884,317
1885,317
1886,317
1887,317
1888,317
1889,317
1890,316
1891,78
1892,17
1893,311
1894,297
1895,297
1896,297
1897,297
1898,78
1899,78
1900,78
1901,78
1902,78
1903,78
1904,78
1905,78
1906,78
1907,78
1908,78
1909,78
1910,297
1911,297
1912,297
1913,297
1914,297
1915,297
1916,297
1917,297
1918,297
1919,78
1920,78
1921,297
1922,297
1923,297
1924,297
1925,297
1926,297
1927,297
1928,297
1929,297
1930,297
1931,297
1932,297
1933,297
1934,297
1935,297
1936,297
1937,297
1938,297
1939,297
1940,297
1941,297
1942,297
1943,297
1944,297
1945,297
1946,297
1947,297
1948,297
1949,297
1950,297
1951,297
1952,297
1953,297
1954,297
1955,297
1956,297
1957,297
1958,297
1959,297
1960,297
1961,297
1962,297
1963,297
1964,297
1965,297
1966,297
1967,297
1968,297
1969,297
1970,297
1971,297
1972,297
1973,297
1974,297
1975,297
1976,297
1977,297
1978,297
1979,297
1980,297
1981,297
1982,297
1983,297
1984,297
1985,297
1986,297
1987,297
1988,297
1989,297
1990,297
1991,297
1992,297
1993,297
1994,297
1995,297
1996,297
1997,297
1998,297
1999,297
2000,297
2001,297
2002,297
2003,297
2004,297
2005,297
2006,297
2007,297
2008,297
2009,297
2010,297
2011,297
2012,297
2013,297
2014,297
2015,297
2016,297
2017,297
2018,297
2019,297
2020,297
2021,297
2022,297
2023,297
2024,297
2025,297
2026,297
2027,297
2028,297
2029,297
2030,297
2031,297
2032,297
2033,297
2034,297
2035,297
2036,297
2037,297
2038,297
2039,297
2040,297
2041,297
2042,297
2043,297
2044,297
2045,297
2046,297
2047,297
2048,297
2049,297
2050,297
2051,297
2052,297
2053,297
2054,297
2055,297
2056,297
2057,297
2058,297
2059,297
2060,297
2061,297
2062,297
2063,297
2064,297
2065,297
2066,297
2067,297
2068,297
2069,297
2070,297
2071,297
2072,297
2073,297
2074,297
2075,297
2076,297
2077,297
2078,297
2079,297
2080,297
2081,297
2082,297
2083,297
2084,297
2085,297
2086,297
2087,297
2088,297
2089,297
2090,297
2091,297
2092,297
2093,297
2094,297
2095,297
2096,297
2097,297
2098,297
2099,297
2100,297
2101,297
2102,297
2103,297
2104,297
2105,297
2106,297
2107,297
2108,297
2109,297
2110,297
2111,297
2112,297
2113,297
2114,297
2115,297
2116,297
2117,297
2118,297
2119,297
2120,297
2121,297
2122,297
2123,297
2124,297
2125,297
2126,297
2127,297
2128,297
2129,297
2130,297
2131,297
2132,297
2133,297
2134,297
2135,297
2136,297
2137,297
2138,297
