,type
687,article-journal
688,article-journal
689,article-journal
690,article-journal
691,article-journal
692,article-journal
693,article-journal
694,article-journal
695,article-journal
696,article-journal
697,article-journal
698,article-journal
699,article-journal
700,article-journal
701,article-journal
702,article-journal
703,article-journal
704,article-journal
705,article-journal
706,article-journal
707,article-journal
708,article-journal
709,article-journal
710,article-journal
711,article-journal
712,article-journal
713,article-journal
714,article-journal
715,article-journal
716,article-journal
717,article-journal
718,article-journal
719,article-journal
720,article-journal
721,article-journal
722,article-journal
723,article-journal
724,article-journal
725,article-journal
726,article-journal
727,article-journal
728,article-journal
729,article-journal
730,article-journal
731,article-journal
732,article-journal
733,article-journal
734,article-journal
735,article-journal
736,article-journal
737,article-journal
738,article-journal
739,article-journal
740,article-journal
741,article-journal
742,article-journal
743,article-journal
744,article-journal
745,article-journal
746,article-journal
747,article-journal
748,article-journal
749,article-journal
750,article-journal
751,article-journal
752,article-journal
753,article-journal
754,article-journal
755,article-journal
756,article-journal
757,article-journal
758,article-journal
759,article-journal
760,article-journal
761,article-journal
762,article-journal
763,article-journal
764,article-journal
765,article-journal
766,article-journal
767,article-journal
768,article-journal
769,article-journal
770,article-journal
771,article-journal
772,article-journal
773,article-journal
774,article-journal
775,article-journal
776,article-journal
777,article-journal
778,article-journal
779,article-journal
780,article-journal
781,article-journal
782,article-journal
783,article-journal
784,article-journal
785,article-journal
786,article-journal
787,article-journal
788,article-journal
789,article-journal
790,article-journal
791,article-journal
792,article-journal
793,article-journal
794,article-journal
795,article-journal
796,article-journal
797,article-journal
798,article-journal
799,article-journal
800,article-journal
801,article-journal
802,article-journal
803,article-journal
804,article-journal
805,article-journal
806,article-journal
807,article-journal
808,article-journal
809,article-journal
810,article-journal
811,article-journal
812,article-journal
813,article-journal
814,article-journal
815,article-journal
816,article-journal
817,article-journal
818,article-journal
819,article-journal
820,article-journal
821,article-journal
822,article-journal
823,article-journal
824,article-journal
825,article-journal
826,article-journal
827,article-journal
828,article-journal
829,article-journal
830,article-journal
831,article-journal
832,article-journal
833,article-journal
834,article-journal
835,article-journal
836,article-journal
837,article-journal
838,article-journal
839,article-journal
840,article-journal
841,article-journal
842,article-journal
843,article-journal
844,article-journal
845,article-journal
846,article-journal
847,article-journal
848,article-journal
849,article-journal
850,article-journal
851,article-journal
852,article-journal
853,article-journal
854,article-journal
855,article-journal
856,article-journal
857,article-journal
858,article-journal
859,article-journal
860,article-journal
861,article-journal
862,article-journal
863,article-journal
864,article-journal
865,article-journal
866,article-journal
867,article-journal
868,article-journal
869,article-journal
870,article-journal
871,article-journal
872,article-journal
873,article-journal
874,article-journal
875,article-journal
876,article-journal
877,article-journal
878,article-journal
879,article-journal
880,article-journal
