,type
26052,article-journal
26053,article-journal
26054,article-journal
26055,article-journal
26056,article-journal
26057,article-journal
26058,article-journal
26059,article-journal
26060,article-journal
26061,article-journal
26062,article-journal
26063,article-journal
26064,article-journal
26065,article-journal
26066,article-journal
26067,article-journal
26068,article-journal
26069,article-journal
26070,article-journal
26071,article-journal
26072,article-journal
26073,article-journal
26074,article-journal
26075,article-journal
26076,article-journal
26077,article-journal
26078,article-journal
26079,article-journal
26080,article-journal
26081,article-journal
26082,article-journal
26083,article-journal
26084,article-journal
26085,article-journal
26086,article-journal
26087,article-journal
26088,article-journal
26089,article-journal
26090,article-journal
26091,article-journal
26092,article-journal
26093,article-journal
26094,article-journal
26095,article-journal
26096,article-journal
26097,article-journal
26098,article-journal
26099,article-journal
26100,article-journal
26101,article-journal
26102,article-journal
26103,article-journal
26104,article-journal
26105,article-journal
26106,article-journal
26107,article-journal
26108,article-journal
26109,article-journal
26110,article-journal
26111,article-journal
26112,article-journal
26113,paper-conference
26114,article-journal
26115,article-journal
26116,article-journal
26117,article-journal
26118,article-journal
26119,article-journal
26120,article-journal
26121,article-journal
26122,article-journal
26123,article-journal
26124,article-journal
26125,article-journal
26126,article-journal
26127,article-journal
26128,article-journal
26129,article-journal
26130,article-journal
26131,article-journal
26132,article-journal
26133,article-journal
26134,article-journal
26135,article-journal
26136,article-journal
26137,article-journal
26138,article-journal
26139,article-journal
26140,article-journal
26141,article-journal
26142,article-journal
26143,article-journal
26144,article-journal
26145,article-journal
26146,article-journal
26147,article-journal
26148,article-journal
26149,article-journal
26150,article-journal
26151,article-journal
26152,article-journal
26153,article-journal
26154,article-journal
26155,article-journal
26156,article-journal
26157,article-journal
26158,article-journal
26159,article-journal
26160,article-journal
26161,article-journal
26162,article-journal
26163,article-journal
26164,article-journal
26165,article-journal
26166,article-journal
26167,article-journal
26168,article-journal
26169,article-journal
26170,article-journal
26171,article-journal
26172,article-journal
26173,article-journal
26174,article-journal
26175,article-journal
26176,article-journal
26177,article-journal
26178,article-journal
26179,article-journal
26180,article-journal
26181,article-journal
26182,article-journal
26183,article-journal
26184,article-journal
26185,article-journal
26186,article-journal
26187,article-journal
26188,article-journal
26189,article-journal
26190,article-journal
26191,article-journal
26192,article-journal
26193,article-journal
26194,article-journal
26195,article-journal
26196,article-journal
26197,article-journal
26198,article-journal
26199,article-journal
26200,article-journal
26201,article-journal
26202,article-journal
26203,article-journal
26204,article-journal
26205,article-journal
26206,article-journal
26207,article-journal
26208,article-journal
26209,article-journal
26210,article-journal
26211,article-journal
26212,article-journal
26213,article-journal
26214,article-journal
26215,article-journal
26216,article-journal
26217,article-journal
26218,article-journal
26219,article-journal
26220,article-journal
26221,article-journal
26222,article-journal
26223,article-journal
26224,article-journal
26225,article-journal
26226,article-journal
26227,article-journal
26228,article-journal
26229,article-journal
26230,article-journal
26231,article-journal
26232,article-journal
26233,article-journal
26234,article-journal
26235,article-journal
26236,article-journal
26237,article-journal
26238,article-journal
26239,article-journal
26240,article-journal
26241,article-journal
26242,article-journal
26243,article-journal
26244,article-journal
26245,article-journal
26246,article-journal
26247,article-journal
26248,article-journal
26249,article-journal
26250,article-journal
26251,article-journal
26252,article-journal
26253,article-journal
26254,article-journal
26255,article-journal
26256,article-journal
26257,article-journal
26258,article-journal
26259,article-journal
26260,article-journal
26261,article-journal
26262,article-journal
26263,article-journal
26264,article-journal
26265,article-journal
26266,article-journal
26267,article-journal
26268,article-journal
26269,article-journal
26270,article-journal
26271,article-journal
26272,article-journal
26273,article-journal
26274,article-journal
26275,article-journal
26276,article-journal
26277,article-journal
26278,article-journal
26279,article-journal
26280,article-journal
26281,article-journal
26282,article-journal
26283,article-journal
26284,article-journal
26285,article-journal
26286,article-journal
26287,article-journal
26288,article-journal
26289,article-journal
26290,article-journal
26291,article-journal
26292,article-journal
26293,article-journal
26294,article-journal
26295,article-journal
26296,article-journal
26297,article-journal
26298,article-journal
26299,article-journal
26300,article-journal
26301,article-journal
26302,article-journal
26303,article-journal
26304,article-journal
26305,article-journal
26306,article-journal
26307,article-journal
26308,article-journal
26309,article-journal
26310,article-journal
26311,article-journal
26312,article-journal
26313,article-journal
26314,article-journal
26315,article-journal
26316,paper-conference
26317,article-journal
26318,article-journal
26319,article-journal
26320,article-journal
26321,article-journal
26322,article-journal
26323,article-journal
26324,article-journal
26325,article-journal
26326,article-journal
26327,article-journal
26328,article-journal
26329,article-journal
26330,article-journal
26331,article-journal
26332,article-journal
26333,article-journal
26334,article-journal
26335,article-journal
26336,article-journal
26337,article-journal
26338,article-journal
26339,article-journal
26340,article-journal
26341,article-journal
26342,article-journal
26343,article-journal
26344,article-journal
26345,article-journal
26346,paper-conference
26347,article-journal
26348,article-journal
26349,article-journal
26350,article-journal
26351,article-journal
26352,article-journal
26353,article-journal
26354,article-journal
26355,article-journal
26356,article-journal
26357,article-journal
26358,article-journal
26359,article-journal
26360,article-journal
26361,article-journal
26362,article-journal
26363,article-journal
26364,article-journal
26365,article-journal
26366,article-journal
26367,article-journal
26368,article-journal
26369,article-journal
26370,article-journal
26371,article-journal
26372,article-journal
26373,article-journal
26374,article-journal
26375,article-journal
26376,article-journal
26377,article-journal
26378,article-journal
26379,article-journal
26380,article-journal
26381,article-journal
26382,article-journal
26383,article-journal
26384,article-journal
26385,article-journal
26386,article-journal
26387,article-journal
26388,article-journal
26389,article-journal
26390,article-journal
26391,article-journal
26392,article-journal
26393,article-journal
26394,article-journal
26395,article-journal
26396,article-journal
26397,article-journal
26398,article-journal
26399,article-journal
26400,article-journal
26401,article-journal
26402,article-journal
26403,article-journal
26404,article-journal
26405,article-journal
26406,article-journal
26407,article-journal
26408,article-journal
26409,article-journal
26410,article-journal
26411,article-journal
26412,article-journal
26413,article-journal
26414,article-journal
26415,article-journal
26416,article-journal
26417,article-journal
26418,article-journal
26419,article-journal
26420,article-journal
26421,article-journal
26422,article-journal
26423,article-journal
26424,article-journal
26425,article-journal
26426,article-journal
26427,article-journal
26428,article-journal
26429,article-journal
26430,article-journal
26431,article-journal
26432,article-journal
26433,article-journal
26434,article-journal
26435,article-journal
26436,article-journal
26437,article-journal
26438,article-journal
26439,article-journal
26440,article-journal
26441,article-journal
26442,article-journal
26443,article-journal
26444,article-journal
26445,article-journal
26446,article-journal
26447,article-journal
26448,article-journal
26449,article-journal
26450,article-journal
26451,article-journal
26452,article-journal
26453,article-journal
26454,article-journal
26455,article-journal
26456,article-journal
26457,article-journal
26458,article-journal
26459,article-journal
26460,article-journal
26461,article-journal
26462,article-journal
26463,article-journal
26464,article-journal
26465,article-journal
26466,article-journal
26467,article-journal
26468,article-journal
26469,article-journal
26470,article-journal
26471,article-journal
26472,article-journal
26473,article-journal
26474,article-journal
26475,article-journal
26476,article-journal
26477,article-journal
26478,article-journal
26479,article-journal
26480,article-journal
26481,article-journal
26482,article-journal
26483,article-journal
26484,article-journal
26485,article-journal
26486,article-journal
26487,article-journal
26488,article-journal
26489,article-journal
26490,article-journal
26491,article-journal
26492,article-journal
26493,article-journal
26494,article-journal
26495,article-journal
26496,article-journal
26497,article-journal
26498,article-journal
26499,article-journal
26500,article-journal
26501,article-journal
26502,article-journal
26503,article-journal
26504,article-journal
26505,article-journal
26506,article-journal
26507,article-journal
26508,article-journal
26509,article-journal
26510,article-journal
26511,article-journal
26512,article-journal
26513,article-journal
26514,article-journal
26515,article-journal
26516,article-journal
26517,article-journal
26518,article-journal
26519,article-journal
26520,article-journal
26521,article-journal
26522,article-journal
26523,article-journal
26524,article-journal
26525,article-journal
26526,article-journal
26527,article-journal
26528,article-journal
26529,article-journal
26530,article-journal
26531,article-journal
26532,article-journal
26533,article-journal
26534,article-journal
26535,article-journal
26536,article-journal
26537,article-journal
26538,article-journal
26539,article-journal
26540,article-journal
26541,article-journal
26542,article-journal
26543,article-journal
26544,article-journal
26545,article-journal
26546,article-journal
26547,article-journal
26548,article-journal
26549,article-journal
26550,article-journal
26551,article-journal
26552,article-journal
26553,article-journal
26554,article-journal
26555,article-journal
26556,article-journal
26557,article-journal
26558,article-journal
26559,article-journal
26560,article-journal
26561,article-journal
26562,article-journal
26563,article-journal
26564,article-journal
26565,article-journal
26566,article-journal
26567,article-journal
26568,article-journal
26569,article-journal
26570,article-journal
26571,article-journal
26572,article-journal
26573,article-journal
26574,article-journal
26575,article-journal
26576,article-journal
26577,article-journal
26578,article-journal
26579,article-journal
26580,article-journal
26581,article-journal
26582,article-journal
26583,article-journal
26584,article-journal
26585,article-journal
26586,article-journal
26587,article-journal
26588,article-journal
26589,article-journal
26590,article-journal
26591,article-journal
26592,article-journal
26593,article-journal
26594,article-journal
26595,article-journal
26596,article-journal
26597,article-journal
26598,article-journal
26599,article-journal
26600,article-journal
26601,article-journal
26602,article-journal
26603,article-journal
26604,article-journal
26605,article-journal
26606,article-journal
26607,article-journal
26608,article-journal
26609,article-journal
26610,article-journal
26611,article-journal
26612,article-journal
26613,article-journal
26614,article-journal
26615,article-journal
26616,article-journal
26617,article-journal
26618,article-journal
26619,article-journal
26620,article-journal
26621,article-journal
26622,article-journal
26623,article-journal
26624,article-journal
26625,article-journal
26626,article-journal
26627,article-journal
26628,article-journal
26629,article-journal
26630,article-journal
26631,article-journal
26632,article-journal
26633,article-journal
26634,article-journal
26635,article-journal
26636,article-journal
26637,article-journal
26638,article-journal
26639,article-journal
26640,article-journal
26641,article-journal
26642,article-journal
26643,article-journal
26644,article-journal
26645,article-journal
26646,article-journal
26647,article-journal
26648,article-journal
26649,article-journal
26650,article-journal
26651,article-journal
26652,article-journal
26653,article-journal
26654,article-journal
26655,article-journal
26656,article-journal
26657,article-journal
26658,article-journal
26659,article-journal
26660,article-journal
26661,article-journal
26662,article-journal
26663,article-journal
26664,article-journal
26665,article-journal
26666,article-journal
26667,article-journal
26668,article-journal
26669,article-journal
26670,article-journal
26671,article-journal
26672,article-journal
26673,article-journal
26674,article-journal
26675,article-journal
26676,article-journal
26677,article-journal
26678,article-journal
26679,article-journal
26680,article-journal
26681,article-journal
26682,article-journal
26683,article-journal
26684,article-journal
26685,article-journal
26686,article-journal
26687,article-journal
26688,article-journal
26689,article-journal
26690,article-journal
26691,article-journal
26692,article-journal
26693,article-journal
26694,article-journal
26695,article-journal
26696,article-journal
26697,article-journal
26698,article-journal
26699,article-journal
26700,article-journal
26701,article-journal
26702,article-journal
26703,article-journal
26704,article-journal
26705,article-journal
26706,article-journal
26707,article-journal
26708,article-journal
26709,article-journal
26710,article-journal
26711,article-journal
26712,article-journal
26713,article-journal
26714,article-journal
26715,article-journal
26716,article-journal
26717,article-journal
26718,dataset
26719,component
26720,article-journal
26721,article-journal
26722,article-journal
26723,article-journal
26724,article-journal
26725,article-journal
26726,article-journal
26727,article-journal
26728,article-journal
26729,article-journal
26730,article-journal
26731,article-journal
26732,article-journal
26733,article-journal
26734,article-journal
26735,article-journal
26736,article-journal
26737,article-journal
26738,article-journal
26739,article-journal
26740,article-journal
26741,article-journal
26742,article-journal
26743,article-journal
26744,article-journal
26745,article-journal
26746,article-journal
26747,article-journal
26748,article-journal
26749,article-journal
26750,article-journal
26751,article-journal
26752,article-journal
26753,article-journal
26754,article-journal
26755,article-journal
26756,article-journal
26757,article-journal
26758,article-journal
26759,article-journal
26760,article-journal
26761,article-journal
26762,article-journal
26763,article-journal
26764,article-journal
26765,article-journal
26766,article-journal
26767,article-journal
26768,article-journal
26769,article-journal
26770,article-journal
26771,article-journal
26772,article-journal
26773,article-journal
26774,article-journal
26775,article-journal
26776,article-journal
26777,article-journal
26778,article-journal
26779,article-journal
26780,article-journal
26781,article-journal
26782,article-journal
26783,article-journal
26784,article-journal
26785,article-journal
26786,article-journal
26787,article-journal
26788,article-journal
26789,article-journal
26790,article-journal
26791,article-journal
26792,article-journal
26793,article-journal
26794,article-journal
26795,article-journal
26796,article-journal
26797,article-journal
26798,article-journal
26799,article-journal
26800,article-journal
26801,article-journal
26802,article-journal
26803,article-journal
26804,article-journal
26805,article-journal
26806,article-journal
26807,article-journal
26808,article-journal
26809,article-journal
26810,article-journal
26811,article-journal
26812,article-journal
26813,article-journal
26814,article-journal
26815,article-journal
26816,article-journal
26817,article-journal
26818,article-journal
26819,article-journal
26820,article-journal
26821,article-journal
26822,article-journal
26823,article-journal
26824,article-journal
26825,article-journal
26826,article-journal
26827,article-journal
26828,article-journal
26829,article-journal
26830,article-journal
26831,article-journal
26832,article-journal
26833,article-journal
26834,article-journal
26835,article-journal
26836,article-journal
26837,article-journal
26838,article-journal
26839,article-journal
26840,article-journal
26841,article-journal
26842,article-journal
26843,article-journal
26844,article-journal
26845,article-journal
26846,article-journal
26847,article-journal
26848,article-journal
26849,article-journal
26850,article-journal
26851,article-journal
26852,article-journal
26853,article-journal
26854,article-journal
26855,article-journal
26856,article-journal
26857,article-journal
26858,article-journal
26859,article-journal
26860,article-journal
26861,article-journal
26862,article-journal
26863,article-journal
26864,article-journal
26865,article-journal
26866,article-journal
26867,article-journal
26868,article-journal
26869,article-journal
26870,article-journal
26871,article-journal
26872,article-journal
26873,article-journal
26874,article-journal
26875,article-journal
26876,article-journal
26877,article-journal
26878,article-journal
26879,article-journal
26880,article-journal
26881,article-journal
26882,article-journal
26883,article-journal
26884,article-journal
26885,article-journal
26886,article-journal
26887,article-journal
26888,article-journal
26889,article-journal
26890,article-journal
26891,article-journal
26892,article-journal
26893,article-journal
26894,article-journal
26895,article-journal
26896,article-journal
26897,article-journal
26898,article-journal
26899,article-journal
26900,article-journal
26901,article-journal
26902,article-journal
26903,article-journal
26904,article-journal
26905,article-journal
26906,article-journal
26907,article-journal
26908,article-journal
26909,article-journal
26910,article-journal
26911,article-journal
26912,article-journal
26913,article-journal
26914,article-journal
26915,article-journal
26916,article-journal
26917,article-journal
26918,article-journal
26919,article-journal
26920,article-journal
26921,article-journal
26922,article-journal
26923,article-journal
26924,article-journal
26925,article-journal
26926,article-journal
26927,article-journal
26928,article-journal
26929,article-journal
26930,article-journal
26931,article-journal
26932,article-journal
26933,article-journal
26934,article-journal
26935,article-journal
26936,article-journal
26937,article-journal
26938,article-journal
26939,article-journal
26940,article-journal
26941,article-journal
26942,article-journal
26943,article-journal
26944,article-journal
26945,article-journal
26946,article-journal
26947,article-journal
26948,article-journal
26949,article-journal
26950,article-journal
26951,article-journal
26952,article-journal
26953,article-journal
26954,article-journal
26955,article-journal
26956,article-journal
26957,article-journal
26958,article-journal
26959,article-journal
26960,article-journal
26961,article-journal
26962,article-journal
26963,article-journal
26964,article-journal
26965,article-journal
26966,article-journal
26967,article-journal
26968,article-journal
26969,article-journal
26970,article-journal
26971,article-journal
26972,article-journal
26973,article-journal
26974,article-journal
26975,article-journal
26976,article-journal
26977,article-journal
26978,article-journal
26979,article-journal
26980,article-journal
26981,article-journal
26982,article-journal
26983,article-journal
26984,article-journal
26985,article-journal
26986,article-journal
26987,article-journal
26988,article-journal
26989,article-journal
26990,article-journal
26991,article-journal
26992,article-journal
26993,article-journal
26994,article-journal
26995,article-journal
26996,article-journal
26997,article-journal
26998,article-journal
26999,article-journal
27000,article-journal
27001,article-journal
27002,article-journal
27003,article-journal
27004,article-journal
27005,article-journal
27006,article-journal
27007,article-journal
27008,article-journal
27009,article-journal
27010,article-journal
27011,article-journal
27012,article-journal
27013,article-journal
27014,article-journal
27015,article-journal
27016,article-journal
27017,article-journal
27018,article-journal
27019,article-journal
27020,article-journal
27021,article-journal
27022,article-journal
27023,article-journal
27024,article-journal
27025,article-journal
27026,article-journal
27027,article-journal
27028,article-journal
27029,article-journal
27030,article-journal
27031,article-journal
27032,article-journal
27033,article-journal
27034,article-journal
27035,article-journal
27036,article-journal
27037,article-journal
27038,article-journal
27039,article-journal
27040,article-journal
27041,article-journal
27042,article-journal
27043,article-journal
27044,article-journal
27045,article-journal
27046,article-journal
27047,article-journal
27048,article-journal
27049,article-journal
27050,article-journal
27051,article-journal
27052,article-journal
27053,article-journal
27054,article-journal
27055,article-journal
27056,article-journal
27057,article-journal
27058,article-journal
27059,article-journal
27060,article-journal
27061,article-journal
27062,article-journal
27063,article-journal
27064,article-journal
27065,article-journal
27066,article-journal
27067,article-journal
27068,article-journal
27069,article-journal
27070,article-journal
27071,article-journal
27072,article-journal
27073,article-journal
27074,article-journal
27075,article-journal
27076,article-journal
27077,article-journal
27078,article-journal
27079,article-journal
27080,article-journal
27081,article-journal
27082,article-journal
27083,article-journal
27084,article-journal
27085,article-journal
27086,article-journal
27087,article-journal
27088,article-journal
27089,article-journal
27090,article-journal
27091,article-journal
27092,article-journal
27093,paper-conference
27094,article-journal
27095,article-journal
27096,article-journal
27097,article-journal
27098,article-journal
27099,article-journal
27100,article-journal
27101,article-journal
27102,article-journal
27103,article-journal
27104,article-journal
27105,article-journal
27106,article-journal
27107,article-journal
27108,article-journal
27109,article-journal
27110,article-journal
27111,article-journal
27112,paper-conference
27113,article-journal
27114,article-journal
27115,article-journal
27116,article-journal
27117,article-journal
27118,article-journal
27119,article-journal
27120,article-journal
27121,article-journal
27122,article-journal
27123,article-journal
27124,article-journal
27125,article-journal
27126,paper-conference
27127,article-journal
27128,article-journal
27129,article-journal
27130,article-journal
27131,article-journal
27132,article-journal
27133,article-journal
27134,article-journal
27135,article-journal
27136,article-journal
27137,article-journal
27138,article-journal
27139,article-journal
27140,article-journal
27141,article-journal
27142,article-journal
27143,article-journal
27144,article-journal
27145,article-journal
27146,article-journal
27147,unknown
27148,article-journal
27149,article-journal
27150,article-journal
27151,unknown
27152,article-journal
27153,article-journal
27154,article-journal
27155,article-journal
27156,article-journal
27157,article-journal
27158,article-journal
27159,article-journal
27160,article-journal
27161,article-journal
27162,article-journal
27163,article-journal
27164,article-journal
27165,article-journal
27166,article-journal
27167,article-journal
27168,article-journal
27169,article-journal
27170,article-journal
27171,article-journal
27172,article-journal
27173,article-journal
27174,article-journal
27175,article-journal
27176,article-journal
27177,article-journal
27178,article-journal
27179,article-journal
27180,article-journal
27181,article-journal
27182,article-journal
27183,article-journal
27184,article-journal
27185,article-journal
27186,article-journal
27187,article-journal
27188,article-journal
27189,article-journal
27190,article-journal
27191,article-journal
27192,article-journal
27193,article-journal
27194,article-journal
27195,article-journal
27196,article-journal
27197,article-journal
27198,article-journal
27199,article-journal
27200,article-journal
27201,article-journal
27202,article-journal
27203,article-journal
27204,article-journal
27205,article-journal
27206,article-journal
27207,article-journal
27208,article-journal
27209,article-journal
27210,article-journal
27211,article-journal
27212,article-journal
27213,article-journal
27214,article-journal
27215,article-journal
27216,paper-conference
27217,paper-conference
27218,paper-conference
27219,article-journal
27220,article-journal
27221,article-journal
27222,article-journal
27223,article-journal
27224,article-journal
27225,article-journal
27226,article-journal
27227,article-journal
27228,article-journal
27229,article-journal
27230,article-journal
27231,article-journal
27232,paper-conference
27233,paper-conference
27234,article-journal
27235,article-journal
27236,article-journal
27237,article-journal
27238,paper-conference
27239,paper-conference
27240,article-journal
27241,article-journal
27242,article-journal
27243,article-journal
27244,article-journal
27245,article-journal
27246,article-journal
27247,article-journal
27248,article-journal
27249,article-journal
27250,article-journal
27251,article-journal
27252,article-journal
27253,article-journal
27254,article-journal
27255,article-journal
27256,article-journal
27257,article-journal
27258,article-journal
27259,article-journal
27260,paper-conference
27261,paper-conference
27262,article-journal
27263,article-journal
27264,article-journal
27265,article-journal
27266,paper-conference
27267,paper-conference
27268,chapter
27269,chapter
27270,article-journal
27271,article-journal
27272,article-journal
27273,article-journal
27274,article-journal
27275,article-journal
27276,article-journal
27277,article-journal
27278,article-journal
27279,article-journal
27280,article-journal
27281,article-journal
27282,paper-conference
27283,paper-conference
27284,paper-conference
27285,article-journal
27286,article-journal
27287,article-journal
27288,article-journal
27289,article-journal
27290,article-journal
27291,article-journal
27292,article-journal
27293,article-journal
27294,article-journal
27295,article-journal
27296,article-journal
27297,article-journal
27298,article-journal
27299,article-journal
27300,paper-conference
27301,paper-conference
27302,paper-conference
27303,article-journal
27304,article-journal
27305,article-journal
27306,article-journal
27307,article-journal
27308,article-journal
27309,article-journal
27310,article-journal
27311,article-journal
27312,article-journal
27313,article-journal
27314,article-journal
27315,article-journal
27316,article-journal
27317,article-journal
27318,article-journal
27319,article-journal
27320,article-journal
27321,article-journal
27322,article-journal
27323,article-journal
27324,article-journal
27325,article-journal
27326,article-journal
27327,paper-conference
27328,paper-conference
27329,paper-conference
27330,article-journal
27331,article-journal
27332,article-journal
27333,article-journal
27334,article-journal
27335,article-journal
27336,article-journal
27337,article-journal
27338,article-journal
27339,article-journal
27340,article-journal
27341,article-journal
27342,article-journal
27343,article-journal
27344,article-journal
27345,article-journal
27346,article-journal
27347,article-journal
27348,article-journal
27349,article-journal
27350,article-journal
27351,article-journal
27352,article-journal
27353,article-journal
27354,article-journal
27355,article-journal
27356,article-journal
27357,chapter
27358,chapter
27359,chapter
27360,article-journal
27361,article-journal
27362,article-journal
27363,chapter
27364,chapter
27365,chapter
27366,article-journal
27367,article-journal
27368,article-journal
27369,article-journal
27370,article-journal
27371,article-journal
27372,article-journal
27373,article-journal
27374,paper-conference
27375,paper-conference
27376,paper-conference
27377,article-journal
27378,article-journal
27379,article-journal
27380,article-journal
27381,article-journal
27382,article-journal
27383,article-journal
27384,article-journal
27385,article-journal
27386,article-journal
27387,article-journal
27388,article-journal
27389,article-journal
27390,article-journal
27391,article-journal
27392,article-journal
27393,article-journal
27394,article-journal
27395,article-journal
27396,article-journal
27397,article-journal
27398,article-journal
27399,article-journal
27400,article-journal
27401,article-journal
27402,chapter
27403,article-journal
27404,chapter
27405,article-journal
27406,article-journal
27407,article-journal
27408,article-journal
27409,article-journal
27410,article-journal
27411,article-journal
27412,article-journal
27413,article-journal
27414,article-journal
27415,article-journal
27416,article-journal
27417,article-journal
27418,article-journal
27419,article-journal
27420,article-journal
27421,article-journal
27422,article-journal
27423,article-journal
27424,article-journal
27425,article-journal
27426,paper-conference
27427,paper-conference
27428,paper-conference
27429,article-journal
27430,article-journal
27431,article-journal
27432,chapter
27433,chapter
27434,article-journal
27435,article-journal
27436,article-journal
27437,article-journal
27438,article-journal
27439,article-journal
27440,paper-conference
27441,article-journal
27442,paper-conference
27443,article-journal
27444,paper-conference
27445,article-journal
27446,article-journal
27447,article-journal
27448,article-journal
27449,article-journal
27450,article-journal
27451,article-journal
27452,article-journal
27453,article-journal
27454,article-journal
27455,article-journal
27456,article-journal
27457,article-journal
27458,article-journal
27459,article-journal
27460,article-journal
27461,article-journal
27462,article-journal
27463,article-journal
27464,article-journal
27465,article-journal
27466,article-journal
27467,article-journal
27468,article-journal
27469,article-journal
27470,article-journal
27471,article-journal
27472,article-journal
27473,article-journal
27474,article-journal
27475,article-journal
27476,article-journal
27477,article-journal
27478,article-journal
27479,article-journal
27480,article-journal
27481,article-journal
27482,article-journal
27483,article-journal
27484,article-journal
27485,paper-conference
27486,paper-conference
27487,paper-conference
27488,article-journal
27489,article-journal
27490,article-journal
27491,article-journal
27492,article-journal
27493,article-journal
27494,article-journal
27495,article-journal
27496,article-journal
27497,article-journal
27498,article-journal
27499,article-journal
27500,article-journal
27501,article-journal
27502,article-journal
27503,chapter
27504,chapter
27505,chapter
27506,article-journal
27507,article-journal
27508,article-journal
27509,article-journal
27510,article-journal
27511,article-journal
27512,article-journal
27513,article-journal
27514,paper-conference
27515,article-journal
27516,article-journal
27517,article-journal
27518,article-journal
27519,article-journal
27520,article-journal
27521,article-journal
27522,article-journal
27523,article-journal
27524,article-journal
27525,article-journal
27526,article-journal
27527,article-journal
27528,article-journal
27529,article-journal
27530,article-journal
27531,article-journal
27532,article-journal
27533,article-journal
27534,article-journal
27535,article-journal
27536,article-journal
27537,article-journal
27538,chapter
27539,chapter
27540,article-journal
27541,article-journal
27542,article-journal
27543,chapter
27544,article-journal
27545,article-journal
27546,article-journal
27547,article-journal
27548,article-journal
27549,article-journal
27550,article-journal
27551,article-journal
27552,article-journal
27553,article-journal
27554,article-journal
27555,article-journal
27556,article-journal
27557,article-journal
27558,article-journal
27559,article-journal
27560,article-journal
27561,article-journal
27562,article-journal
27563,article-journal
27564,article-journal
27565,paper-conference
27566,paper-conference
27567,paper-conference
27568,article-journal
27569,article-journal
27570,article-journal
27571,article-journal
27572,article-journal
27573,article-journal
27574,article-journal
27575,article-journal
27576,chapter
27577,chapter
27578,chapter
27579,chapter
27580,chapter
27581,chapter
27582,article-journal
27583,article-journal
27584,article-journal
27585,paper-conference
27586,paper-conference
27587,paper-conference
27588,chapter
27589,chapter
27590,article-journal
27591,article-journal
27592,chapter
27593,article-journal
27594,article-journal
27595,article-journal
27596,article-journal
27597,article-journal
27598,article-journal
27599,article-journal
27600,article-journal
27601,article-journal
27602,article-journal
27603,article-journal
27604,chapter
27605,chapter
27606,chapter
27607,chapter
27608,chapter
27609,chapter
27610,article-journal
27611,article-journal
27612,article-journal
27613,paper-conference
27614,paper-conference
27615,paper-conference
27616,article-journal
27617,article-journal
27618,article-journal
27619,article-journal
27620,article-journal
27621,article-journal
27622,article-journal
27623,article-journal
27624,article-journal
27625,article-journal
27626,article-journal
27627,article-journal
27628,article-journal
27629,article-journal
27630,article-journal
27631,article-journal
27632,article-journal
27633,chapter
27634,chapter
27635,chapter
27636,chapter
27637,chapter
27638,paper-conference
27639,paper-conference
27640,paper-conference
27641,article-journal
27642,article-journal
27643,paper-conference
27644,article-journal
27645,paper-conference
27646,paper-conference
27647,paper-conference
27648,article-journal
27649,article-journal
27650,article-journal
27651,article-journal
27652,article-journal
27653,article-journal
27654,article-journal
27655,article-journal
27656,article-journal
27657,article-journal
27658,article-journal
27659,article-journal
27660,article-journal
27661,article-journal
27662,article-journal
27663,article-journal
27664,article-journal
27665,article-journal
27666,paper-conference
27667,paper-conference
27668,paper-conference
27669,article-journal
27670,article-journal
27671,article-journal
27672,chapter
27673,chapter
27674,chapter
27675,article-journal
27676,article-journal
27677,article-journal
27678,chapter
27679,chapter
27680,chapter
27681,chapter
27682,chapter
27683,chapter
27684,article-journal
27685,article-journal
27686,article-journal
27687,chapter
27688,chapter
27689,chapter
27690,article-journal
27691,article-journal
27692,article-journal
27693,article-journal
27694,article-journal
27695,article-journal
27696,article-journal
27697,article-journal
27698,article-journal
27699,article-journal
27700,article-journal
27701,article-journal
27702,article-journal
27703,article-journal
27704,article-journal
27705,article-journal
27706,article-journal
27707,article-journal
27708,article-journal
27709,article-journal
27710,article-journal
27711,article-journal
27712,article-journal
27713,article-journal
27714,article-journal
27715,article-journal
27716,article-journal
27717,paper-conference
27718,paper-conference
27719,article-journal
27720,article-journal
27721,article-journal
27722,article-journal
27723,article-journal
27724,article-journal
27725,article-journal
27726,article-journal
27727,article-journal
27728,chapter
27729,chapter
27730,chapter
27731,chapter
27732,chapter
27733,chapter
27734,chapter
27735,chapter
27736,article-journal
27737,article-journal
27738,article-journal
27739,article-journal
27740,article-journal
27741,article-journal
27742,article-journal
27743,article-journal
27744,article-journal
27745,article-journal
27746,article-journal
27747,article-journal
27748,article-journal
27749,article-journal
27750,article-journal
27751,article-journal
27752,article-journal
27753,article-journal
27754,article-journal
27755,article-journal
27756,paper-conference
27757,paper-conference
27758,paper-conference
27759,chapter
27760,chapter
27761,chapter
27762,article-journal
27763,article-journal
27764,article-journal
27765,article-journal
27766,article-journal
27767,article-journal
27768,article-journal
27769,article-journal
27770,article-journal
27771,article-journal
27772,article-journal
27773,article-journal
27774,article-journal
27775,article-journal
27776,article-journal
27777,article-journal
27778,article-journal
27779,article-journal
27780,article-journal
27781,article-journal
27782,article-journal
27783,article-journal
27784,article-journal
27785,article-journal
27786,article-journal
27787,article-journal
27788,article-journal
27789,article-journal
27790,article-journal
27791,article-journal
27792,article-journal
27793,article-journal
27794,article-journal
27795,article-journal
27796,article-journal
27797,article-journal
27798,article-journal
27799,article-journal
27800,article-journal
27801,article-journal
